text,label
Have enjoyed the game for many years & now enjoy it with my child,Safe
Nice I have watched my sister play it from childhood,Safe
No words to tell it's a emotion since childhood.just love the work and enjoying a lot the game thanks.team candy crush saga.over all it's a legendary game .â™¥ï¸ðŸ‘ðŸ‘ðŸŒˆ,Safe
DO NOT INSTALL. Disgusting. Used to play this in Facebook games Era and now it's become a paywall game like every other gross money hungry game in the app store. Levels passed 50 completely unplayable without power ups which you can only buy with fake currency you have to buy. Want money for any and every action in the game and the fact its geared towards kids and they have store options up to $100 is sickening. Uninstalling for good.,not-safe
"This game is only for gents, not for kids. Due to sexual advertisements are podcasts too much and no option to report or stop these advertisements. So, everyone must and should don't install this game to your child. And also when getting extra moves and powers at the time of end with advertisements it shows the black screen and not responding until clearing this game in recent list. I never saw this kind of worst thing.",not-safe
I always love this Game since my childhood ðŸ˜ŒðŸ’–,Safe
"Fun and Addicting game. It has cute characters besides just the different candies. And I love that it's for all ages. That way, my grandkids can play because it's granny approved. ðŸ‘ðŸ‘ðŸ‘",Safe
"Fun game...relaxing game...recommend it for anyone anytime, kids too",Safe
it is very very interesting game. this game is very superb and very nice. when I am playing this game I feel so relaxation and I don't have any more tensions. stories game is perfect to all like children's and teenage and also old age this game is very good for all generations this game provides many happy and a lot of interesting about to play this game. when I am playing this game I feel very happy . so I thought this game very nice. so I am giving five stars for this candy crush saga game.,Safe
This game is awesome. I'm playing this since my childhood,Safe
"Until 4-5 years ago, I thoroughly enjoyed this app and recommended it to everyone. It has now become so overloaded with ads, a few of which are lewd and promote obscenity (ad for some app called Ayar). I am leaving this review to caution others who may mistakenly download the app for their children's use.",not-safe
Hi team this game was fantastic but playing ads (sexual / pornography) please don't play This game is playing so many childrens also please avoid the ads,not-safe
Diary for kids who have been the most part they were going out tonight with a friend request from my house at all today I have been in my head in the middle school with you on that one person that is a very long as I have a lot about how much do they have the best part is when you can see that I was in a bit too far for you too ðŸ‘¶ I ðŸ˜ the fact is that what I said that you have any questions about what you mean by you or your house is so good night baby ðŸ‘§ I love u more then anything about that,Safe
Really fun great for kids and parents ðŸ˜„,Safe
Fun really relaxing I even have my kids playing as well,Safe
This game is my childhood I remember playing it when I was lil coming back to it now is surprising as I have found many new and nice changes. It has become my go to game and I play it every day after school which helps relief my stress overall it is a good game and Im pretty sure some will love it.,Safe
THIS GAME IS VERY GOOD FOR ADULTS&CHILDREN PLS PLAY ALL WHO HAVE AN ANDROID MOBILE.,Safe
spent too much money my wife left me and took the kids,Safe
I am having fun playing this this game give me many interesting things about my childhood life thanks Candy Crush,Safe
"I love this game. It is highly addicting, though. My kids enjoy it too.",Safe
My childhood memories â¤ï¸ðŸ¤Œ,Safe
Good super helpful for kids and good for brain development,Safe
My childhood is in this,Safe
This game is my childhood because I play candy crush since 2012 and from now I am good in this game. ðŸ¬ðŸ¬ðŸ¬,Safe
"It doesn't have sub lists, e.g. ""child/school"", ""child/health"" so you see too many lists or too many tasks at once (which is overwelming).",not-safe
"I'm a student and was looking for something get myself very organized. I have tried series of productivity apps before. Apparently this had one of the features i have always been looking for; integration with other apps which I love. Two things I found disappointing, features are extremely limited without premium, it's almost impossible to use like that also very expensive. I couldn't find statistics; from totally hours and other reports",not-safe
"very simle with few functions, maybe for childrens. there are missing a lot of usual functions that others free app have: time tracking, a true calendar where you add tasks by minutes steps, no task, subtask numbering, no tabel, spreadshets tasks, no custom fields, no timesheet , etc on this premium account. If you want and work with advanced GTD, planners, project management go away and dont lose your time.",not-safe
Well I have suggestion make a system where students could track time... Like total available time then distribute it over task..,not-safe
"It's OK but it's not for me. I'm a student and cannot pay for an upgrade in the app. The free options are a bit limited so I, had to delete this app. Hope you enjoy it thoðŸ˜Š Edit: Thank you for replying. I will make sure to give it another try and re-rate it depending on my second experience :) 2nd edit: it's very helpful. It does what it's created for: planning and keeping your life organized. And with reminders for us forgetful people . BravoðŸ˜ I still feel like its missing something...",Safe
